Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
NJ,NEWARK,NJ,University Heights Charter School,341134099990,2009,Personnel salaries at school level - total,1964598.00,,,,,,,,,,,,
NJ,NEWARK,NJ,University Heights Charter School,341134099990,2009,Personnel salaries at school level - instructional staff only,1343840.00,,,,,,,,,,,,
NJ,NEWARK,NJ,University Heights Charter School,341134099990,2009,Non-personnel expenditures at school level,620758.00,,,,,,,,,,,,
NJ,NEWARK,NJ,University Heights Charter School,341134099990,2009,Personnel salaries at school level - teachers only,1131106.00,15.00,,,,,,,,,,,
NJ,NEWARK,NJ,University Heights Charter School,341134099990,2009,Total enrollment,,,0.00,0.00,0.00,15.00,185.00,0.00,0.00,200.00,15.00,0.00,0.00
NJ,NEWARK,NJ,Marion P. Thomas Charter School,341134099994,2009,Personnel salaries at school level - total,3815333.00,,,,,,,,,,,,
NJ,NEWARK,NJ,Marion P. Thomas Charter School,341134099994,2009,Personnel salaries at school level - instructional staff only,2501309.00,,,,,,,,,,,,
NJ,NEWARK,NJ,Marion P. Thomas Charter School,341134099994,2009,Non-personnel expenditures at school level,1632118.00,,,,,,,,,,,,
NJ,NEWARK,NJ,Marion P. Thomas Charter School,341134099994,2009,Personnel salaries at school level - teachers only,1621215.00,33.00,,,,,,,,,,,
NJ,NEWARK,NJ,Marion P. Thomas Charter School,341134099994,2009,Total enrollment,,,0.00,0.00,0.00,25.00,485.00,0.00,0.00,510.00,35.00,0.00,0.00
NJ,NEWARK,NJ,New Horizons Community Charter School,341134099997,2009,Personnel salaries at school level - total,2524864.00,,,,,,,,,,,,
NJ,NEWARK,NJ,New Horizons Community Charter School,341134099997,2009,Personnel salaries at school level - instructional staff only,1813462.00,,,,,,,,,,,,
NJ,NEWARK,NJ,New Horizons Community Charter School,341134099997,2009,Non-personnel expenditures at school level,237711.00,,,,,,,,,,,,
NJ,NEWARK,NJ,New Horizons Community Charter School,341134099997,2009,Personnel salaries at school level - teachers only,1302005.00,34.00,,,,,,,,,,,
NJ,NEWARK,NJ,New Horizons Community Charter School,341134099997,2009,Total enrollment,,,0.00,0.00,0.00,35.00,410.00,0.00,0.00,450.00,25.00,5.00,0.00

