Lea State,LEA,School State,School,ID,Year,Category,Amount,Full Time Equivalent (FTE),American Indian or Alaska Native,Asian,Hawaiian/ Pacific Islander,Hispanic,Black,White,Two or more races,Total,SWD (IDEA-Eligible),SWD (Section 504 only),LEP
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Non-personnel expenditures at school level,1182008.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Personnel salaries at school level - teachers only,7677208.00,86.00,,,,,,,,,,,
GA,ATLANTA CITY,GA,GRADY HIGH SCHOOL,130012000066,2009,Total enrollment,,,35.00,20.00,0.00,15.00,970.00,375.00,45.00,1465.00,110.00,5.00,20.00
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2009,Personnel salaries at school level - total,6106360.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2009,Personnel salaries at school level - instructional staff only,5446940.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2009,Non-personnel expenditures at school level,659388.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2009,Personnel salaries at school level - teachers only,4643199.00,28.00,,,,,,,,,,,
GA,ATLANTA CITY,GA,THOMASVILLE HEIGHTS ELEMENTARY SCHOOL,130012000069,2009,Total enrollment,,,0.00,0.00,0.00,0.00,365.00,0.00,0.00,365.00,25.00,0.00,0.00
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Personnel salaries at school level - total,9488811.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Personnel salaries at school level - instructional staff only,8266850.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Non-personnel expenditures at school level,1148467.00,,,,,,,,,,,,
GA,ATLANTA CITY,GA,WASHINGTON SENIOR ACADEMY HIGH SCHOOL,130012000072,2009,Personnel salaries at school level - teachers only,6940636.00,64.00,,,,,,,,,,,
