Data Source,World Development Indicators,,,,,,
,,,,,,,
Last Updated Date,5/2/18,,,,,,
,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2014,2015,2016,2017
Norway,NOR,"Population, total",SP.POP.TOTL,5137232,5190239,5236151,
Nepal,NPL,"Population, total",SP.POP.TOTL,28323241,28656282,28982771,
Nauru,NRU,"Population, total",SP.POP.TOTL,11853,12475,13049,
New Zealand,NZL,"Population, total",SP.POP.TOTL,4509700,4595700,4693200,
OECD members,OED,"Population, total",SP.POP.TOTL,1273144197,1281415538,1289872625,
Oman,OMN,"Population, total",SP.POP.TOTL,3960925,4199810,4424762,
Other small states,OSS,"Population, total",SP.POP.TOTL,28766825,29383324,29994562,
Pakistan,PAK,"Population, total",SP.POP.TOTL,185546257,189380513,193203476,
Panama,PAN,"Population, total",SP.POP.TOTL,3903986,3969249,4034119,
Peru,PER,"Population, total",SP.POP.TOTL,30973354,31376671,31773839,
Philippines,PHL,"Population, total",SP.POP.TOTL,100102249,101716359,103320222,
Palau,PLW,"Population, total",SP.POP.TOTL,21094,21288,21503,
Papua New Guinea,PNG,"Population, total",SP.POP.TOTL,7755785,7919825,8084991,
Poland,POL,"Population, total",SP.POP.TOTL,38011735,37986412,37970087,
Pre-demographic dividend,PRE,"Population, total",SP.POP.TOTL,830442736,854646007,879292453,
Puerto Rico,PRI,"Population, total",SP.POP.TOTL,3534874,3473181,3411307,
"Korea, Dem. People’s Rep.",PRK,"Population, total",SP.POP.TOTL,25116363,25243917,25368620,
Portugal,PRT,"Population, total",SP.POP.TOTL,10401062,10358076,10325452,
Paraguay,PRY,"Population, total",SP.POP.TOTL,6552584,6639119,6725308,
West Bank and Gaza,PSE,"Population, total",SP.POP.TOTL,4294682,4422143,4551566,
Pacific island small states,PSS,"Population, total",SP.POP.TOTL,2329458,2358955,2388875,
Post-demographic dividend,PST,"Population, total",SP.POP.TOTL,1092623699,1097600621,1102651400,
French Polynesia,PYF,"Population, total",SP.POP.TOTL,275484,277690,280208,
Qatar,QAT,"Population, total",SP.POP.TOTL,2374419,2481539,2569804,
Romania,ROU,"Population, total",SP.POP.TOTL,19908979,19815481,19699312,
Russian Federation,RUS,"Population, total",SP.POP.TOTL,143819666,144096870,144342396,
Rwanda,RWA,"Population, total",SP.POP.TOTL,11345357,11629553,11917508,
South Asia,SAS,"Population, total",SP.POP.TOTL,1721847786,1744199944,1766393714,
Saudi Arabia,SAU,"Population, total",SP.POP.TOTL,30776722,31557144,32275687,
Sudan,SDN,"Population, total",SP.POP.TOTL,37737913,38647803,39578828,
Senegal,SEN,"Population, total",SP.POP.TOTL,14546111,14976994,15411614,
Singapore,SGP,"Population, total",SP.POP.TOTL,5469724,5535002,5607283,
Solomon Islands,SLB,"Population, total",SP.POP.TOTL,575504,587482,599419,
Sierra Leone,SLE,"Population, total",SP.POP.TOTL,7079162,7237025,7396190,
El Salvador,SLV,"Population, total",SP.POP.TOTL,6281189,6312478,6344722,
San Marino,SMR,"Population, total",SP.POP.TOTL,32657,32960,33203,
Somalia,SOM,"Population, total",SP.POP.TOTL,13513125,13908129,14317996,
Serbia,SRB,"Population, total",SP.POP.TOTL,7130576,7095383,7058322,
Sub-Saharan Africa (excluding high income),SSA,"Population, total",SP.POP.TOTL,978926559,1005756630,1033118066,
South Sudan,SSD,"Population, total",SP.POP.TOTL,11530971,11882136,12230730,
Sub-Saharan Africa,SSF,"Population, total",SP.POP.TOTL,979017918,1005850049,1033212743,
Small states,SST,"Population, total",SP.POP.TOTL,38258962,38947227,39628909,
Sao Tome and Principe,STP,"Population, total",SP.POP.TOTL,191266,195553,199910,
Suriname,SUR,"Population, total",SP.POP.TOTL,547928,553208,558368,
Slovak Republic,SVK,"Population, total",SP.POP.TOTL,5418649,5423801,5430798,
Slovenia,SVN,"Population, total",SP.POP.TOTL,2061980,2063531,2065042,
Sweden,SWE,"Population, total",SP.POP.TOTL,9696110,9799186,9923085,
Swaziland,SWZ,"Population, total",SP.POP.TOTL,1295097,1319011,1343098,
Sint Maarten (Dutch part),SXM,"Population, total",SP.POP.TOTL,37685,38824,39969,
Seychelles,SYC,"Population, total",SP.POP.TOTL,91359,93419,94677,
Syrian Arab Republic,SYR,"Population, total",SP.POP.TOTL,19203090,18734987,18430453,
Turks and Caicos Islands,TCA,"Population, total",SP.POP.TOTL,33739,34339,34900,
Chad,TCD,"Population, total",SP.POP.TOTL,13569438,14009413,14452543,
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,1998686391,2013132699,2027896410,
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,450522686,452962149,455376693,
Togo,TGO,"Population, total",SP.POP.TOTL,7228915,7416802,7606374,
Thailand,THA,"Population, total",SP.POP.TOTL,68416772,68657600,68863514,
Tajikistan,TJK,"Population, total",SP.POP.TOTL,8362745,8548651,8734951,
Turkmenistan,TKM,"Population, total",SP.POP.TOTL,5466241,5565284,5662544,
Latin America & the Caribbean (IDA & IBRD countries),TLA,"Population, total",SP.POP.TOTL,608136047,614891969,621534921,
Timor-Leste,TLS,"Population, total",SP.POP.TOTL,1212814,1240977,1268671,
Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",SP.POP.TOTL,356783315,363027163,369167489,
Tonga,TON,"Population, total",SP.POP.TOTL,105782,106364,107122,
South Asia (IDA & IBRD),TSA,"Population, total",SP.POP.TOTL,1721847786,1744199944,1766393714,
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",SP.POP.TOTL,979017918,1005850049,1033212743,
Trinidad and Tobago,TTO,"Population, total",SP.POP.TOTL,1354493,1360092,1364962,
Tunisia,TUN,"Population, total",SP.POP.TOTL,11143908,11273661,11403248,
Turkey,TUR,"Population, total",SP.POP.TOTL,77030628,78271472,79512426,
Tuvalu,TUV,"Population, total",SP.POP.TOTL,10908,11001,11097,
Tanzania,TZA,"Population, total",SP.POP.TOTL,52234869,53879957,55572201,
Uganda,UGA,"Population, total",SP.POP.TOTL,38833338,40144870,41487965,
Ukraine,UKR,"Population, total",SP.POP.TOTL,45271947,45154029,45004645,
Upper middle income,UMC,"Population, total",SP.POP.TOTL,2541465508,2560700314,2580012056,
Uruguay,URY,"Population, total",SP.POP.TOTL,3419546,3431552,3444006,
United States,USA,"Population, total",SP.POP.TOTL,318563456,320896618,323127513,
Uzbekistan,UZB,"Population, total",SP.POP.TOTL,30757700,31298900,31847900,
St. Vincent and the Grenadines,VCT,"Population, total",SP.POP.TOTL,109357,109455,109643,
"Venezuela, RB",VEN,"Population, total",SP.POP.TOTL,30738378,31155134,31568179,
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,29588,30113,30661,
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,107884,107710,107510,
Vietnam,VNM,"Population, total",SP.POP.TOTL,92544915,93571567,94569072,
Vanuatu,VUT,"Population, total",SP.POP.TOTL,258850,264603,270402,
World,WLD,"Population, total",SP.POP.TOTL,7271228018,7357369754,7444027227,
Samoa,WSM,"Population, total",SP.POP.TOTL,192290,193759,195125,
Kosovo,XKX,"Population, total",SP.POP.TOTL,1821800,1801800,1816200,
"Yemen, Rep.",YEM,"Population, total",SP.POP.TOTL,26246327,26916207,27584213,
South Africa,ZAF,"Population, total",SP.POP.TOTL,54539571,55291225,56015473,
Zambia,ZMB,"Population, total",SP.POP.TOTL,15620974,16100587,16591390,
Zimbabwe,ZWE,"Population, total",SP.POP.TOTL,15411675,15777451,16150362,
